entity_type,entity_value,count
PER,Booker,34
PER,Nunnelly,34
PER,Lloyd Greenfield,31
PER,Ollie,31
PER,Carl,29
PER,Lloyd,29
PER,Ollie Hubbard,28
PER,Charles,26
PER,Jim Nunnelly,24
PER,Paul,23
PER,Allen,18
PER,Bubba Cleaver,18
PER,Matt Cassel,18
PER,Doc,16
PER,Cleaver,15
PER,Obama,14
PER,Romeo,13
PER,Jamaal Charles,11
PER,Banks,10
PER,Mila Banks,10
PER,Wesson,10
PER,Cassel,9
PER,Jim,9
PER,Bunny Rabbit,7
PER,Granddad,7
PER,Haley,7
PER,Hubbard,7
PER,Manning,7
PER,Shakespeare,7
PER,Goliath,6
PER,Hali,6
PER,Herm,6
PER,Larry Johnson,6
PER,Luck,6
PER,Bowe,5
PER,Clark,5
PER,David,5
PER,Dwayne Bowe,5
PER,God,5
PER,Herm Edwards,5
PER,Rev,5
PER,Rudolph,5
PER,Sandra,5
PER,Terry Strother,5
PER,Tony G,5
PER,West,5
PER,Andre,4
PER,Bri,4
PER,Carl Peterson,4
PER,Eric,4
PER,Erica,4
PER,Flip Wilson,4
PER,Gardner,4
PER,George Benson,4
PER,Grand Dad,4
PER,Jim “Grand Dad,4
PER,John Legend,4
PER,Johnson,4
PER,Kerry Washington,4
PER,Marvin Gaye,4
PER,Mila,4
PER,Tom Brady,4
PER,Amanda,3
PER,Beverly,3
PER,Derrick Johnson,3
PER,Eli,3
PER,Eric L,3
PER,Eric L. Wesson,3
PER,Flip,3
PER,Greenfield,3
PER,Guy,3
PER,Jamal Charles,3
PER,Jeremiah Cameron,3
PER,Jim “Granddad,3
PER,Jones,3
PER,Josh Freeman,3
PER,Monday Niters,3
PER,Myla Banks,3
PER,Ollie Gates,3
PER,Otis Taylor,3
PER,Ray Lewis,3
PER,Robert,3
PER,Roberta Flack,3
PER,S Dad,3
PER,Smith,3
PER,Tamba Hali,3
PER,Todd Haley,3
PER,Alicia Keys,2
PER,Alzheimer,2
PER,Andre Jackmon,2
PER,Berry,2
PER,Beyonce,2
PER,Brady,2
PER,Brandon Lloyd,2
PER,Brian Waters,2
PER,Bubba,2
PER,Buck Buchanan,2
PER,Carl Connor,2
PER,Celeste,2
PER,Cole,2
PER,Congressman Cleaver,2
PER,Damon,2
